
Processing window: filtered_7_days
Loading fine-tuned FinBERT model for filtered_7_days from finbert_output_7_days...
Epoch 166/500, Loss: 13.0788
Epoch 167/500, Loss: 13.0916
Epoch 168/500, Loss: 13.2445
Epoch 169/500, Loss: 12.9124
Epoch 170/500, Loss: 13.3685
Epoch 171/500, Loss: 12.8866
Epoch 172/500, Loss: 13.2079
Epoch 173/500, Loss: 12.7902
Epoch 174/500, Loss: 13.0498
Epoch 175/500, Loss: 13.0073
Epoch 176/500, Loss: 12.8613
Epoch 177/500, Loss: 13.0717
Epoch 178/500, Loss: 12.8310
Epoch 179/500, Loss: 13.2143
Epoch 180/500, Loss: 13.2561
Epoch 181/500, Loss: 13.2293
Epoch 182/500, Loss: 13.4300
Epoch 183/500, Loss: 13.0787
Epoch 184/500, Loss: 13.2528
Epoch 185/500, Loss: 13.1112
Epoch 186/500, Loss: 13.2552
Epoch 187/500, Loss: 13.0459
Epoch 188/500, Loss: 13.4108
Epoch 189/500, Loss: 13.2759
Epoch 190/500, Loss: 13.1388
Epoch 191/500, Loss: 13.0240
Epoch 192/500, Loss: 13.3210
Epoch 193/500, Loss: 12.8991
Epoch 194/500, Loss: 13.1461
Epoch 195/500, Loss: 13.3215
Epoch 196/500, Loss: 13.1632
Epoch 197/500, Loss: 12.9578
Epoch 198/500, Loss: 13.3211
Epoch 199/500, Loss: 13.0592
Epoch 200/500, Loss: 13.0790
Epoch 201/500, Loss: 13.1361
Epoch 202/500, Loss: 12.8768
Epoch 203/500, Loss: 12.9401
Epoch 204/500, Loss: 12.9220
Epoch 205/500, Loss: 13.0382
Epoch 206/500, Loss: 13.4542
Epoch 207/500, Loss: 12.9046
Epoch 208/500, Loss: 13.3096
Epoch 209/500, Loss: 13.1587
Epoch 210/500, Loss: 13.0283
Epoch 211/500, Loss: 13.4273
Epoch 212/500, Loss: 13.1455
Epoch 213/500, Loss: 13.0943
Epoch 214/500, Loss: 13.2197
Epoch 215/500, Loss: 12.9481
Epoch 216/500, Loss: 13.2615
Epoch 217/500, Loss: 13.2690
Epoch 218/500, Loss: 13.0055
Epoch 219/500, Loss: 13.0360
Epoch 220/500, Loss: 13.1732
Epoch 221/500, Loss: 13.0926
Epoch 222/500, Loss: 12.9573
Epoch 223/500, Loss: 13.1425
Epoch 224/500, Loss: 13.1529
Epoch 225/500, Loss: 12.9458
Epoch 226/500, Loss: 13.1608
Epoch 227/500, Loss: 13.3215
Epoch 228/500, Loss: 13.2272
Epoch 229/500, Loss: 13.3584
Epoch 230/500, Loss: 12.9894
Epoch 231/500, Loss: 13.2111
Epoch 232/500, Loss: 13.2642
Epoch 233/500, Loss: 13.1997
Epoch 234/500, Loss: 13.0854
Epoch 235/500, Loss: 13.1840
Epoch 236/500, Loss: 13.0546
Epoch 237/500, Loss: 13.4955
Epoch 238/500, Loss: 13.3536
Epoch 239/500, Loss: 13.1357
Epoch 240/500, Loss: 13.3637
Epoch 241/500, Loss: 13.3686
Epoch 242/500, Loss: 13.0807
Epoch 243/500, Loss: 13.0545
Epoch 244/500, Loss: 13.0623
Epoch 245/500, Loss: 13.3038
Epoch 246/500, Loss: 13.2386
Epoch 247/500, Loss: 13.0955
Epoch 248/500, Loss: 13.1203
Epoch 249/500, Loss: 13.2466
Epoch 250/500, Loss: 13.0907
Epoch 251/500, Loss: 13.0214
Epoch 252/500, Loss: 13.2584
Epoch 253/500, Loss: 13.1862
Epoch 254/500, Loss: 13.3405
Epoch 255/500, Loss: 13.2675
Epoch 256/500, Loss: 13.3896
Epoch 257/500, Loss: 13.2898
Epoch 258/500, Loss: 12.7688
Epoch 259/500, Loss: 13.3415
Epoch 260/500, Loss: 13.2547
Epoch 261/500, Loss: 13.2912
Epoch 262/500, Loss: 12.9758
Epoch 263/500, Loss: 13.0536
Epoch 264/500, Loss: 13.1664
Epoch 265/500, Loss: 12.9756
Epoch 266/500, Loss: 13.3095
Epoch 267/500, Loss: 13.3378
Epoch 268/500, Loss: 13.3357
Epoch 269/500, Loss: 13.1828
Epoch 270/500, Loss: 13.0610
Epoch 271/500, Loss: 13.2692
Epoch 272/500, Loss: 13.0002
Epoch 273/500, Loss: 13.2789
Epoch 274/500, Loss: 13.0828
Epoch 275/500, Loss: 13.1343
Epoch 276/500, Loss: 12.9376
Epoch 277/500, Loss: 12.9852
Epoch 278/500, Loss: 13.2921
Epoch 279/500, Loss: 13.0061
Epoch 280/500, Loss: 13.1083
Epoch 281/500, Loss: 13.3420
Epoch 282/500, Loss: 13.1167
Epoch 283/500, Loss: 12.9941
Epoch 284/500, Loss: 13.2297
Epoch 285/500, Loss: 13.0953
Epoch 286/500, Loss: 13.2317
Epoch 287/500, Loss: 13.0586
Epoch 288/500, Loss: 13.2372
Epoch 289/500, Loss: 13.0707
Epoch 290/500, Loss: 13.2272
Epoch 291/500, Loss: 12.9860
Epoch 292/500, Loss: 13.0722
Epoch 293/500, Loss: 13.0177
Epoch 294/500, Loss: 12.9310
Epoch 295/500, Loss: 13.1847
Epoch 296/500, Loss: 13.0575
Epoch 297/500, Loss: 13.1534
Epoch 298/500, Loss: 13.0505
Epoch 299/500, Loss: 13.2484
Epoch 300/500, Loss: 12.9619
Epoch 301/500, Loss: 13.0383
Epoch 302/500, Loss: 13.3399
Epoch 303/500, Loss: 13.0634
Epoch 304/500, Loss: 13.2250
Epoch 305/500, Loss: 12.8790
Epoch 306/500, Loss: 12.9953
Epoch 307/500, Loss: 12.8950
Epoch 308/500, Loss: 12.9437
Epoch 309/500, Loss: 13.1404
Epoch 310/500, Loss: 13.0113
Epoch 311/500, Loss: 12.9407
Epoch 312/500, Loss: 13.6068
